date,store_id,cost_description,variable_cost,fixed_cost
2021-01-01,1,"January rent payment, gas, water, electricity",1628,5000
2021-01-01,2,"January rent payment, gas, water, electricity",1875,9000
2021-01-01,3,"January rent payment, gas, water, electricity",1353,8250
2021-01-01,4,"January rent payment, gas, water, electricity",1163,14500
2021-01-01,5,"January rent payment, gas, water, electricity",1159,10000
2021-02-01,1,"February rent payment, gas, water, electricity",1673,5000
2021-02-01,2,"February rent payment, gas, water, electricity",1442,9000
2021-02-01,3,"February rent payment, gas, water, electricity",1541,8250
2021-02-01,4,"February rent payment, gas, water, electricity",1518,14500
2021-02-01,5,"February rent payment, gas, water, electricity",1523,10000
2021-03-01,1,"March rent payment, gas, water, electricity",1471,5000
2021-03-01,2,"March rent payment, gas, water, electricity",1049,9000
2021-03-01,3,"March rent payment, gas, water, electricity",1231,8250
2021-03-01,4,"March rent payment, gas, water, electricity",1123,14500
2021-03-01,5,"March rent payment, gas, water, electricity",1486,10000
2021-04-01,1,"April rent payment, gas, water, electricity",1449,5000
2021-04-01,2,"April rent payment, gas, water, electricity",1029,9000
2021-04-01,3,"April rent payment, gas, water, electricity",1951,8250
2021-04-01,4,"April rent payment, gas, water, electricity",1803,14500
2021-04-01,5,"April rent payment, gas, water, electricity",1090,10000
2021-05-01,1,"May rent payment, gas, water, electricity",1107,5000
2021-05-01,2,"May rent payment, gas, water, electricity",1767,9000
2021-05-01,3,"May rent payment, gas, water, electricity",1338,8250
2021-05-01,4,"May rent payment, gas, water, electricity",1063,14500
2021-05-01,5,"May rent payment, gas, water, electricity",1823,10000
2021-06-01,1,"June rent payment, gas, water, electricity",1906,5000
2021-06-01,2,"June rent payment, gas, water, electricity",1706,9000
2021-06-01,3,"June rent payment, gas, water, electricity",1260,8250
2021-06-01,4,"June rent payment, gas, water, electricity",1281,14500
2021-06-01,5,"June rent payment, gas, water, electricity",1418,10000
2021-07-01,1,"July rent payment, gas, water, electricity",1788,5000
2021-07-01,2,"July rent payment, gas, water, electricity",1850,9000
2021-07-01,3,"July rent payment, gas, water, electricity",1084,8250
2021-07-01,4,"July rent payment, gas, water, electricity",1672,14500
2021-07-01,5,"July rent payment, gas, water, electricity",1772,10000
2021-08-01,1,"August rent payment, gas, water, electricity",1721,5000
2021-08-01,2,"August rent payment, gas, water, electricity",1431,9000
2021-08-01,3,"August rent payment, gas, water, electricity",1302,8250
2021-08-01,4,"August rent payment, gas, water, electricity",1949,14500
2021-08-01,5,"August rent payment, gas, water, electricity",1456,10000
2021-09-01,1,"September rent payment, gas, water, electricity",1971,5000
2021-09-01,2,"September rent payment, gas, water, electricity",1734,9000
2021-09-01,3,"September rent payment, gas, water, electricity",1771,8250
2021-09-01,4,"September rent payment, gas, water, electricity",1117,14500
2021-09-01,5,"September rent payment, gas, water, electricity",1284,10000
2021-10-01,1,"October rent payment, gas, water, electricity",1928,5000
2021-10-01,2,"October rent payment, gas, water, electricity",1335,9000
2021-10-01,3,"October rent payment, gas, water, electricity",1057,8250
2021-10-01,4,"October rent payment, gas, water, electricity",1561,14500
2021-10-01,5,"October rent payment, gas, water, electricity",1928,10000
2021-11-01,1,"November rent payment, gas, water, electricity",1534,5000
2021-11-01,2,"November rent payment, gas, water, electricity",1059,9000
2021-11-01,3,"November rent payment, gas, water, electricity",1340,8250
2021-11-01,4,"November rent payment, gas, water, electricity",1305,14500
2021-11-01,5,"November rent payment, gas, water, electricity",1188,10000
2021-12-01,1,"December rent payment, gas, water, electricity",1999,5000
2021-12-01,2,"December rent payment, gas, water, electricity",1144,9000
2021-12-01,3,"December rent payment, gas, water, electricity",1577,8250
2021-12-01,4,"December rent payment, gas, water, electricity",1379,14500
2021-12-01,5,"December rent payment, gas, water, electricity",1287,10000
2022-01-01,1,"January rent payment, gas, water, electricity",1358,5500
2022-01-01,2,"January rent payment, gas, water, electricity",1036,9500
2022-01-01,3,"January rent payment, gas, water, electricity",1034,8500
2022-01-01,4,"January rent payment, gas, water, electricity",1239,16000
2022-01-01,5,"January rent payment, gas, water, electricity",1532,11000
2022-02-01,1,"February rent payment, gas, water, electricity",1810,5500
2022-02-01,2,"February rent payment, gas, water, electricity",1359,9500
2022-02-01,3,"February rent payment, gas, water, electricity",1386,8500
2022-02-01,4,"February rent payment, gas, water, electricity",1073,16000
2022-02-01,5,"February rent payment, gas, water, electricity",1874,11000
2022-03-01,1,"March rent payment, gas, water, electricity",1712,5500
2022-03-01,2,"March rent payment, gas, water, electricity",1362,9500
2022-03-01,3,"March rent payment, gas, water, electricity",1721,8500
2022-03-01,4,"March rent payment, gas, water, electricity",1646,16000
2022-03-01,5,"March rent payment, gas, water, electricity",1765,11000
2022-04-01,1,"April rent payment, gas, water, electricity",1055,5500
2022-04-01,2,"April rent payment, gas, water, electricity",1914,9500
2022-04-01,3,"April rent payment, gas, water, electricity",1025,8500
2022-04-01,4,"April rent payment, gas, water, electricity",1603,16000
2022-04-01,5,"April rent payment, gas, water, electricity",1787,11000
2022-05-01,1,"May rent payment, gas, water, electricity",1586,5500
2022-05-01,2,"May rent payment, gas, water, electricity",1257,9500
2022-05-01,3,"May rent payment, gas, water, electricity",1953,8500
2022-05-01,4,"May rent payment, gas, water, electricity",1571,16000
2022-05-01,5,"May rent payment, gas, water, electricity",1099,11000
2022-06-01,1,"June rent payment, gas, water, electricity",1887,5500
2022-06-01,2,"June rent payment, gas, water, electricity",1813,9500
2022-06-01,3,"June rent payment, gas, water, electricity",1154,8500
2022-06-01,4,"June rent payment, gas, water, electricity",1018,16000
2022-06-01,5,"June rent payment, gas, water, electricity",1093,11000
2022-07-01,1,"July rent payment, gas, water, electricity",1469,5500
2022-07-01,2,"July rent payment, gas, water, electricity",1315,9500
2022-07-01,3,"July rent payment, gas, water, electricity",1147,8500
2022-07-01,4,"July rent payment, gas, water, electricity",1382,16000
2022-07-01,5,"July rent payment, gas, water, electricity",1870,11000
2022-08-01,1,"August rent payment, gas, water, electricity",1773,5500
2022-08-01,2,"August rent payment, gas, water, electricity",1660,9500
2022-08-01,3,"August rent payment, gas, water, electricity",1447,8500
2022-08-01,4,"August rent payment, gas, water, electricity",1623,16000
2022-08-01,5,"August rent payment, gas, water, electricity",1250,11000
2022-09-01,1,"September rent payment, gas, water, electricity",1212,5500
2022-09-01,2,"September rent payment, gas, water, electricity",1145,9500
2022-09-01,3,"September rent payment, gas, water, electricity",1743,8500
2022-09-01,4,"September rent payment, gas, water, electricity",1407,16000
2022-09-01,5,"September rent payment, gas, water, electricity",1916,11000
2022-10-01,1,"October rent payment, gas, water, electricity",1217,5500
2022-10-01,2,"October rent payment, gas, water, electricity",1588,9500
2022-10-01,3,"October rent payment, gas, water, electricity",1040,8500
2022-10-01,4,"October rent payment, gas, water, electricity",1271,16000
2022-10-01,5,"October rent payment, gas, water, electricity",1807,11000
2022-11-01,1,"November rent payment, gas, water, electricity",1761,5500
2022-11-01,2,"November rent payment, gas, water, electricity",1978,9500
2022-11-01,3,"November rent payment, gas, water, electricity",1230,8500
2022-11-01,4,"November rent payment, gas, water, electricity",1160,16000
2022-11-01,5,"November rent payment, gas, water, electricity",1250,11000
2022-12-01,1,"December rent payment, gas, water, electricity",1790,5500
2022-12-01,2,"December rent payment, gas, water, electricity",1700,9500
2022-12-01,3,"December rent payment, gas, water, electricity",1341,8500
2022-12-01,4,"December rent payment, gas, water, electricity",1841,16000
2022-12-01,5,"December rent payment, gas, water, electricity",1565,11000
2023-01-01,1,"January rent payment, gas, water, electricity",1139,6000
2023-01-01,2,"January rent payment, gas, water, electricity",1499,10000
2023-01-01,3,"January rent payment, gas, water, electricity",1208,8750
2023-01-01,4,"January rent payment, gas, water, electricity",1031,16500
2023-01-01,5,"January rent payment, gas, water, electricity",1409,11000
2023-02-01,1,"February rent payment, gas, water, electricity",1008,6000
2023-02-01,2,"February rent payment, gas, water, electricity",1818,10000
2023-02-01,3,"February rent payment, gas, water, electricity",1808,8750
2023-02-01,4,"February rent payment, gas, water, electricity",1228,16500
2023-02-01,5,"February rent payment, gas, water, electricity",1711,11000
2023-03-01,1,"March rent payment, gas, water, electricity",1258,6000
2023-03-01,2,"March rent payment, gas, water, electricity",1909,10000
2023-03-01,3,"March rent payment, gas, water, electricity",1111,8750
2023-03-01,4,"March rent payment, gas, water, electricity",1990,16500
2023-03-01,5,"March rent payment, gas, water, electricity",1125,11000
2023-04-01,1,"April rent payment, gas, water, electricity",1732,6000
2023-04-01,2,"April rent payment, gas, water, electricity",1080,10000
2023-04-01,3,"April rent payment, gas, water, electricity",1789,8750
2023-04-01,4,"April rent payment, gas, water, electricity",1706,16500
2023-04-01,5,"April rent payment, gas, water, electricity",1061,11000
2023-05-01,1,"May rent payment, gas, water, electricity",1607,6000
2023-05-01,2,"May rent payment, gas, water, electricity",1809,10000
2023-05-01,3,"May rent payment, gas, water, electricity",1135,8750
2023-05-01,4,"May rent payment, gas, water, electricity",1033,16500
2023-05-01,5,"May rent payment, gas, water, electricity",1463,11000
2023-06-01,1,"June rent payment, gas, water, electricity",1640,6000
2023-06-01,2,"June rent payment, gas, water, electricity",1353,10000
2023-06-01,3,"June rent payment, gas, water, electricity",1513,8750
2023-06-01,4,"June rent payment, gas, water, electricity",1911,16500
2023-06-01,5,"June rent payment, gas, water, electricity",1482,11000
2023-07-01,1,"July rent payment, gas, water, electricity",1694,6000
2023-07-01,2,"July rent payment, gas, water, electricity",1607,10000
2023-07-01,3,"July rent payment, gas, water, electricity",1055,8750
2023-07-01,4,"July rent payment, gas, water, electricity",1190,16500
2023-07-01,5,"July rent payment, gas, water, electricity",1395,11000
2023-08-01,1,"August rent payment, gas, water, electricity",1908,6000
2023-08-01,2,"August rent payment, gas, water, electricity",1619,10000
2023-08-01,3,"August rent payment, gas, water, electricity",1788,8750
2023-08-01,4,"August rent payment, gas, water, electricity",1287,16500
2023-08-01,5,"August rent payment, gas, water, electricity",1751,11000
2023-09-01,1,"September rent payment, gas, water, electricity",1339,6000
2023-09-01,2,"September rent payment, gas, water, electricity",1350,10000
2023-09-01,3,"September rent payment, gas, water, electricity",1401,8750
2023-09-01,4,"September rent payment, gas, water, electricity",1806,16500
2023-09-01,5,"September rent payment, gas, water, electricity",1485,11000
2023-10-01,1,"October rent payment, gas, water, electricity",1670,6000
2023-10-01,2,"October rent payment, gas, water, electricity",1733,10000
2023-10-01,3,"October rent payment, gas, water, electricity",1416,8750
2023-10-01,4,"October rent payment, gas, water, electricity",1866,16500
2023-10-01,5,"October rent payment, gas, water, electricity",1379,11000
2023-11-01,1,"November rent payment, gas, water, electricity",1299,6000
2023-11-01,2,"November rent payment, gas, water, electricity",1538,10000
2023-11-01,3,"November rent payment, gas, water, electricity",1737,8750
2023-11-01,4,"November rent payment, gas, water, electricity",1068,16500
2023-11-01,5,"November rent payment, gas, water, electricity",1748,11000
2023-12-01,1,"December rent payment, gas, water, electricity",1277,6000
2023-12-01,2,"December rent payment, gas, water, electricity",1257,10000
2023-12-01,3,"December rent payment, gas, water, electricity",1820,8750
2023-12-01,4,"December rent payment, gas, water, electricity",1091,16500
2023-12-01,5,"December rent payment, gas, water, electricity",1207,11000
2024-01-01,1,"January rent payment, gas, water, electricity",1848,6500
2024-01-01,2,"January rent payment, gas, water, electricity",1744,11000
2024-01-01,3,"January rent payment, gas, water, electricity",1189,9000
2024-01-01,4,"January rent payment, gas, water, electricity",1362,18000
2024-01-01,5,"January rent payment, gas, water, electricity",1829,12000
2024-02-01,1,"February rent payment, gas, water, electricity",1578,6500
2024-02-01,2,"February rent payment, gas, water, electricity",1498,11000
2024-02-01,3,"February rent payment, gas, water, electricity",1850,9000
2024-02-01,4,"February rent payment, gas, water, electricity",1994,18000
2024-02-01,5,"February rent payment, gas, water, electricity",1259,12000
2024-03-01,1,"March rent payment, gas, water, electricity",1294,6500
2024-03-01,2,"March rent payment, gas, water, electricity",1707,11000
2024-03-01,3,"March rent payment, gas, water, electricity",1618,9000
2024-03-01,4,"March rent payment, gas, water, electricity",1474,18000
2024-03-01,5,"March rent payment, gas, water, electricity",1963,12000
2024-04-01,1,"April rent payment, gas, water, electricity",1530,6500
2024-04-01,2,"April rent payment, gas, water, electricity",1449,11000
2024-04-01,3,"April rent payment, gas, water, electricity",1574,9000
2024-04-01,4,"April rent payment, gas, water, electricity",1684,18000
2024-04-01,5,"April rent payment, gas, water, electricity",1600,12000
